! R36 NASA7 thermo generated by least-squares fitting from uploaded NASA9 YAML
THERMO
   298.150  1000.000  5000.000
HNO                     H   1N   1O   1     G   298.150  5000.000  1012.120    1
 3.20087299E+00 2.91235027E-03-3.41602172E-07-5.12915750E-11 8.16531815E-15    2
 1.18089012E+04 7.49122895E+00 4.39161330E+00-4.51961363E-03 1.55189649E-05    3
-1.40678900E-08 4.40894489E-12 1.16710916E+04 2.33930419E+00                   4
N2O                     N   2O   1          G   298.150  5000.000  1012.120    1
 4.73789612E+00 2.79287114E-03-1.13505486E-06 2.08357109E-10-1.43044369E-14    2
 8.16928714E+03-1.72572816E+00 2.42979118E+00 1.02650011E-02-1.15962919E-05    3
 7.94569670E-09-2.45267236E-12 8.78189574E+03 1.00072773E+01                   4
H2                      H   2               G   298.150  5000.000  1012.120    1
 3.02024945E+00 6.62611996E-04-3.99459261E-08-1.20293113E-11 1.74609054E-15    2
-8.45811163E+02-1.50820639E+00 3.15716599E+00 1.90810356E-03-3.66407431E-06    3
 3.05704613E-09-8.25733018E-13-9.99397786E+02-2.70378106E+00                   4
CH3O                    C   1H   3O   1     G   298.150  3000.000  1009.090    1
 4.12298746E+00 6.91174464E-03-1.85933908E-06 1.21750230E-10 1.24293574E-14    2
 4.55482700E+01 1.14876168E+00 2.06259973E+00 7.40602585E-03 5.37872369E-06    3
-8.16015875E-09 2.66070161E-12 9.87066623E+02 1.33668357E+01                   4
CH2O                    C   1H   2O   1     G   298.150  3500.000  1011.110    1
 1.90322728E+00 8.68548438E-03-3.98490741E-06 8.65377806E-10-7.27435342E-14    2
-1.40052121E+04 1.30248160E+01 4.18579460E+00-5.37122630E-03 2.57735882E-05    3
-2.58643367E-08 8.72937020E-12-1.42571810E+04 3.14394936E+00                   4
HCO                     C   1H   1O   1     G   298.150  5000.000  1012.120    1
 3.61571649E+00 3.10105334E-03-1.12888114E-06 1.87090851E-10-1.14729843E-14    2
 3.74130402E+03 5.29555506E+00 4.01326854E+00-1.65836571E-03 9.77262081E-06    3
-9.17500616E-09 2.82330695E-12 3.86329116E+03 4.27008355E+00                   4
CO                      C   1O   1          G   298.150  5000.000  1012.120    1
 3.04664994E+00 1.39427655E-03-5.31089383E-07 9.38895315E-11-6.24773793E-15    2
-1.42810261E+04 6.01238042E+00 3.46208520E+00 1.94531513E-05 1.65631455E-07    3
 1.01007573E-09-6.56402966E-13-1.43401095E+04 4.02642414E+00                   4
HCN                     C   1H   1N   1     G   298.150  5000.000  1012.120    1
 3.80889836E+00 3.10257835E-03-1.03140828E-06 1.58303398E-10-9.14717710E-15    2
 1.47380199E+04 1.57626517E+00 2.29547824E+00 9.81597461E-03-1.28394190E-05    3
 9.62378456E-09-2.85375207E-12 1.50333908E+04 8.77733330E+00                   4
NH                      H   1N   1          G   298.150  5000.000  1012.120    1
 2.80519582E+00 1.28241244E-03-3.92066571E-07 6.97907984E-11-4.75638071E-15    2
 4.22448695E+04 5.64658266E+00 3.60987452E+00-4.77473362E-04 5.35263065E-07    3
 2.98100330E-10-2.02635489E-13 4.19935098E+04 1.35758735E+00                   4
CO2                     C   1O   2          G   298.150  5000.000  1012.120    1
 4.48866645E+00 3.02953913E-03-1.20000244E-06 2.19406407E-10-1.50078677E-14    2
-4.90044535E+04-1.11203944E+00 2.22932727E+00 1.01837894E-02-1.08838052E-05    3
 7.13212300E-09-2.13437792E-12-4.83984508E+04 1.04083921E+01                   4
N                       N   1               G   298.150  5000.000  1012.120    1
 2.40517692E+00 1.95310306E-04-1.28103423E-07 3.18146190E-11-2.11973708E-15    2
 5.61710969E+04 4.70994517E+00 2.48366487E+00 1.69580081E-04-4.59280588E-07    3
 5.06260634E-10-1.98764771E-13 5.61364767E+04 4.24997377E+00                   4
END
